Sr. No,Product Name,Price(Rs),Link,Website
47,"Acer Swift 5 14"" (35.56cms) Full HD IPS Display with Touchscreen Ultra Thin and Light Notebook (Intel i7 - 11th Gen/16GB RAM/1TB SSD/Win10/Intel Iris Xe Graphics/1.05 Kg/Mist Green), SF514-55TA","94,999",https://www.amazon.in/result.find/Acer-Swift-Display-Touchscreen-Notebook/dp/B08M41DHTV/ref=sr_1_12?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-12,Amazon.in
48,"2020 Apple MacBook Air (13.3-inch/33.78 cm, Apple M1 chip with 8‑core CPU and 7‑core GPU, 8GB RAM, 256GB SSD) - Space Grey","92,900",https://www.amazon.in/result.find/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_7?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-7,Amazon.in
49,"2020 Apple MacBook Air (13.3-inch/33.78 cm, Apple M1 chip with 8‑core CPU and 7‑core GPU, 8GB RAM, 256GB SSD) - Space Grey","92,900",https://www.amazon.in/result.find/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_7?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-7,Amazon.in
50,"ASUS ZenBook Flip 13 OLED, Intel Core i5-1135G7 11th Gen, 13.3"" FHD Touch 2-in-1 Laptop (8GB/512GB SSD + 32GB Optane Memory/Windows 10/Office 2019/Iris Xᵉ Graphics/Pine Grey/1.3 kg), UX363EA-HP501TS","92,890",https://www.amazon.in/result.find/ASUS-ZenBook-i5-1135G7-Graphics-UX363EA-HP501TS/dp/B08SY2FZKY/ref=sr_1_28?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-28,Amazon.in
51,"ASUS ZenBook Flip 13 OLED, Intel Core i5-1135G7 11th Gen, 13.3"" FHD Touch 2-in-1 Laptop (8GB/512GB SSD + 32GB Optane Memory/Windows 10/Office 2019/Iris Xᵉ Graphics/Pine Grey/1.3 kg), UX363EA-HP501TS","92,890",https://www.amazon.in/result.find/ASUS-ZenBook-i5-1135G7-Graphics-UX363EA-HP501TS/dp/B08SY2FZKY/ref=sr_1_28?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-28,Amazon.in
52,"Microsoft Surface Pro 7 VDV-00015 12.3"" (31.24 cms) Touchscreen 2-in-1 Laptop (10th Gen Intel Core i5/8GB/128GB SSD/Windows 10 Home/Intel Iris Plus Graphics), Platinum","85,990",https://www.amazon.in/result.find/Microsoft-VDV-00015-Touchscreen-Graphics-Platinum/dp/B084HYTLFS/ref=sr_1_11?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-11,Amazon.in
53,"Acer Concept D CN515-51 15.6-inch 4K UHD Thin and Light Creative Notebook (Intel Core i5-8305G/16 GB RAM/1 TB SSD/Win10/4GB of Radeon RX Vega Graphics), White","85,990",https://www.amazon.in/result.find/Acer-CN515-51-15-6-inch-Creative-Notebook/dp/B083BPWXSJ/ref=sr_1_33?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-33,Amazon.in
54,"Microsoft Surface Pro 7 VDV-00015 12.3"" (31.24 cms) Touchscreen 2-in-1 Laptop (10th Gen Intel Core i5/8GB/128GB SSD/Windows 10 Home/Intel Iris Plus Graphics), Platinum","85,990",https://www.amazon.in/result.find/Microsoft-VDV-00015-Touchscreen-Graphics-Platinum/dp/B084HYTLFS/ref=sr_1_11?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-11,Amazon.in
55,"Acer Concept D CN515-51 15.6-inch 4K UHD Thin and Light Creative Notebook (Intel Core i5-8305G/16 GB RAM/1 TB SSD/Win10/4GB of Radeon RX Vega Graphics), White","85,990",https://www.amazon.in/result.find/Acer-CN515-51-15-6-inch-Creative-Notebook/dp/B083BPWXSJ/ref=sr_1_33?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-33,Amazon.in
56,"HP Pavilion (2021) Thin & Light 11th Gen Core i7 Laptop, 16 GB RAM, 1TB SSD, Iris Xe Graphics, 14"" (35.56cms) FHD Screen, Windows 10, MS Office, Backlit Keyboard (14-dv0058TU)","84,990",https://www.amazon.in/result.find/HP-Pavilion-Graphics-35-56cms-14-dv0058TU/dp/B08WB857GB/ref=sr_1_21?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-21,Amazon.in
57,"HP Pavilion (2021) Thin & Light 11th Gen Core i7 Laptop, 16 GB RAM, 1TB SSD, Iris Xe Graphics, 14"" (35.56cms) FHD Screen, Windows 10, MS Office, Backlit Keyboard (14-dv0058TU)","84,990",https://www.amazon.in/result.find/HP-Pavilion-Graphics-35-56cms-14-dv0058TU/dp/B08WB857GB/ref=sr_1_21?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-21,Amazon.in
58,"ASUS ZenBook Duo UX481FL-BM5811T Intel Core i5 10th Gen 14"" (35.56cms) FHD T&L Laptop (8GB RAM/512GB NVMe SSD/Windows 10/2GB NVIDIA GeForce MX250 Graphics/ScreenPad Plus/1.50 Kg), Celestial Blue","79,990",https://www.amazon.in/result.find/ASUS-UX481FL-BM5811T-Graphics-ScreenPad-Celestial/dp/B083BSFNYR/ref=sr_1_20?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-20,Amazon.in
59,"DELL Inspiron 7490 14-inch (35.56 cms) Laptop (10th Gen Core i5-10210U/8GB/512GB SSD/Window 10 + Microsoft Office/NVidia 2GB MX250 Graphics), Silver","79,990",https://www.amazon.in/result.find/Inspiron-7490-i5-10210U-Microsoft-Graphics/dp/B0842Z99KY/ref=sr_1_23?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-23,Amazon.in
60,"ASUS ZenBook Duo UX481FL-BM5811T Intel Core i5 10th Gen 14"" (35.56cms) FHD T&L Laptop (8GB RAM/512GB NVMe SSD/Windows 10/2GB NVIDIA GeForce MX250 Graphics/ScreenPad Plus/1.50 Kg), Celestial Blue","79,990",https://www.amazon.in/result.find/ASUS-UX481FL-BM5811T-Graphics-ScreenPad-Celestial/dp/B083BSFNYR/ref=sr_1_20?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-20,Amazon.in
61,"DELL Inspiron 7490 14-inch (35.56 cms) Laptop (10th Gen Core i5-10210U/8GB/512GB SSD/Window 10 + Microsoft Office/NVidia 2GB MX250 Graphics), Silver","79,990",https://www.amazon.in/result.find/Inspiron-7490-i5-10210U-Microsoft-Graphics/dp/B0842Z99KY/ref=sr_1_23?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-23,Amazon.in
62,"ASUS ZenBook 14 (2020) Intel Core i5-1135G7 11th Gen 14-inch (35.56 cms) FHD T&L Laptop (8GB RAM/512GB NVMe SSD/Windows 10/MS Office 2019/Intel Iris Xᵉ Graphics/Pine Grey/1.17 kg), UX425EA-BM501TS","72,990",https://www.amazon.in/result.find/ASUS-ZenBook-i5-1135G7-Graphics-UX425EA-BM501TS/dp/B08M4SQ83T/ref=sr_1_30?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-30,Amazon.in
63,"ASUS ZenBook 14 (2020) Intel Core i5-1135G7 11th Gen 14-inch (35.56 cms) FHD T&L Laptop (8GB RAM/512GB NVMe SSD/Windows 10/MS Office 2019/Intel Iris Xᵉ Graphics/Pine Grey/1.17 kg), UX425EA-BM501TS","72,990",https://www.amazon.in/result.find/ASUS-ZenBook-i5-1135G7-Graphics-UX425EA-BM501TS/dp/B08M4SQ83T/ref=sr_1_30?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-30,Amazon.in
64,"HP Pavilion 13 11th Gen Intel Core i5 13.3"" (33.78 cms) Ultra Thin FHD Laptop (16GB/512GB SSD/Win10/MS Office/Alexa Built-in/Natural Silver/1.24 Kg), 13-bb0075TU","70,086",https://www.amazon.in/result.find/HP-Pavilion-Laptop-Natural-13-bb0075TU/dp/B08V5WLM62/ref=sr_1_14?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-14,Amazon.in
65,"HP Pavilion 13 11th Gen Intel Core i5 13.3"" (33.78 cms) Ultra Thin FHD Laptop (16GB/512GB SSD/Win10/MS Office/Alexa Built-in/Natural Silver/1.24 Kg), 13-bb0075TU","70,086",https://www.amazon.in/result.find/HP-Pavilion-Laptop-Natural-13-bb0075TU/dp/B08V5WLM62/ref=sr_1_14?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-14,Amazon.in
66,"Microsoft Surface Laptop Go 10th Gen Intel Core i5-1035G1 12.4"" Touchscreen Laptop (8GB/128GB SSD/Windows 10 Home in S Mode/Intel UHD Graphics/Platinum/1.110 kg,25% Off on Microsoft 365), THH-00023","69,990",https://www.amazon.in/result.find/Microsoft-i5-1035G1-Touchscreen-Graphics-THH-00023/dp/B08SX5XVBK/ref=sr_1_19?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-19,Amazon.in
67,"Microsoft Surface Laptop Go 10th Gen Intel Core i5-1035G1 12.4"" Touchscreen Laptop (8GB/128GB SSD/Windows 10 Home in S Mode/Intel UHD Graphics/Platinum/1.110 kg,25% Off on Microsoft 365), THH-00023","69,990",https://www.amazon.in/result.find/Microsoft-i5-1035G1-Touchscreen-Graphics-THH-00023/dp/B08SX5XVBK/ref=sr_1_19?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-19,Amazon.in
68,"Dell Inspiron 7490 14-inch FHD Display Laptop (10th Gen i5-10210U/8GB/512GB SSD/Win 10 + MS Office/Integrated Graphics), Silver","69,740",https://www.amazon.in/result.find/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A022064216WJC34JPUMPT&url=%2FDell-Inspiron-7490-i5-10210U-Integrated%2Fdp%2FB08C5DS6ZQ%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dmacbook%2Bpro%26qid%3D1626531350%26sr%3D8-17-spons%26psc%3D1%26smid%3DA2W4R6KXCY4TRS&qualifier=1626531350&id=5987242951732840&widgetName=sp_atf_next,Amazon.in
69,"Dell Inspiron 7490 14-inch FHD Display Laptop (10th Gen i5-10210U/8GB/512GB SSD/Win 10 + MS Office/Integrated Graphics), Silver","69,740",https://www.amazon.in/result.find/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A022064216WJC34JPUMPT&url=%2FDell-Inspiron-7490-i5-10210U-Integrated%2Fdp%2FB08C5DS6ZQ%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dmacbook%2Bpro%26qid%3D1626531366%26sr%3D8-17-spons%26psc%3D1%26smid%3DA2W4R6KXCY4TRS&qualifier=1626531366&id=5495831703684376&widgetName=sp_atf_next,Amazon.in
70,"Acer Swift 5 14"" (35.56 cms) Full HD IPS Display with Touchscreen Ultra Thin and Light Notebook (Intel i5 - 11th Gen/8GB RAM/512GB SSD/Win10/Intel Iris Xe Graphics/1.05 Kg/Mist Green), SF514-55TA","68,999",https://www.amazon.in/result.find/Acer-Swift-Display-Touchscreen-Notebook/dp/B08P6GCH7Y/ref=sr_1_22?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-22,Amazon.in
71,"Acer Swift 5 14"" (35.56 cms) Full HD IPS Display with Touchscreen Ultra Thin and Light Notebook (Intel i5 - 11th Gen/8GB RAM/512GB SSD/Win10/Intel Iris Xe Graphics/1.05 Kg/Mist Green), SF514-55TA","68,999",https://www.amazon.in/result.find/Acer-Swift-Display-Touchscreen-Notebook/dp/B08P6GCH7Y/ref=sr_1_22?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-22,Amazon.in
72,"MSI Modern 15, Intel 10th Gen. i5-10210U, 15.6"" (39.62cms) FHD Laptop (8GB/512GB NVMe SSD/Windows 10 Home/Carbon Grey/1.6Kg), A10M-482IN","63,237",https://www.amazon.in/result.find/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09600781QECXGBZUC790&url=%2FMSI-i5-10210U-39-62cms-Windows-A10M-482IN%2Fdp%2FB08NTVZMWD%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dmacbook%2Bpro%26qid%3D1626531350%26sr%3D8-18-spons%26psc%3D1&qualifier=1626531350&id=5987242951732840&widgetName=sp_atf_next,Amazon.in
73,"MSI Modern 15, Intel 10th Gen. i5-10210U, 15.6"" (39.62cms) FHD Laptop (8GB/512GB NVMe SSD/Windows 10 Home/Carbon Grey/1.6Kg), A10M-482IN","63,237",https://www.amazon.in/result.find/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09600781QECXGBZUC790&url=%2FMSI-i5-10210U-39-62cms-Windows-A10M-482IN%2Fdp%2FB08NTVZMWD%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dmacbook%2Bpro%26qid%3D1626531366%26sr%3D8-18-spons%26psc%3D1&qualifier=1626531366&id=5495831703684376&widgetName=sp_atf_next,Amazon.in
74,"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)","58,490",https://www.amazon.in/result.find/HP-Laptop-15-6-inch-Windows-15s-fq2535TU/dp/B08XNYN5QV/ref=sr_1_16?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-16,Amazon.in
75,"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)","58,490",https://www.amazon.in/result.find/HP-Laptop-15-6-inch-Windows-15s-fq2535TU/dp/B08XNYN5QV/ref=sr_1_16?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-16,Amazon.in
76,"Microsoft Surface GO 2 STQ-00013 10.1"" (26.54 cms) Laptop (Gold Processor 4425Y/8GB/128GB SSD/Windows 10 Home in S Mode/Intel UHD 615 Graphics), Platinum","57,999",https://www.amazon.in/result.find/Microsoft-STQ-00013-10-1-inch-Processor-Graphics/dp/B08DHHB2W1/ref=sr_1_15?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-15,Amazon.in
77,"Microsoft Surface GO 2 STQ-00013 10.1"" (26.54 cms) Laptop (Gold Processor 4425Y/8GB/128GB SSD/Windows 10 Home in S Mode/Intel UHD 615 Graphics), Platinum","57,999",https://www.amazon.in/result.find/Microsoft-STQ-00013-10-1-inch-Processor-Graphics/dp/B08DHHB2W1/ref=sr_1_15?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-15,Amazon.in
78,"Microsoft Surface Go MHN-00015 10 inch Touchscreen 2-in-1 Laptop (Intel Pentium Gold Processor/8GB/128GB SSD/Windows 10 Home in S Mode/Intel HD Graphics 615), Platinum","48,499",https://www.amazon.in/result.find/Microsoft-MCZ-00015-Integrated-Graphics-Platinum/dp/B07RBQXYH8/ref=sr_1_24?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-24,Amazon.in
79,"Microsoft Surface Go MHN-00015 10 inch Touchscreen 2-in-1 Laptop (Intel Pentium Gold Processor/8GB/128GB SSD/Windows 10 Home in S Mode/Intel HD Graphics 615), Platinum","48,499",https://www.amazon.in/result.find/Microsoft-MCZ-00015-Integrated-Graphics-Platinum/dp/B07RBQXYH8/ref=sr_1_24?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-24,Amazon.in
80,"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)","38,490",https://www.amazon.in/result.find/HP-3-3250-Laptop-Windows-15s-gr0011AU/dp/B08T6SJ215/ref=sr_1_26?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-26,Amazon.in
81,"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)","38,490",https://www.amazon.in/result.find/HP-3-3250-Laptop-Windows-15s-gr0011AU/dp/B08T6SJ215/ref=sr_1_26?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-26,Amazon.in
82,"HP Chromebook x360 Intel Celeron N4020 Processor 12-inch (30.48 cms) Touchscreen Laptop (4GB/64GB eMMC Storage/Chrome OS/Natural Silver), 12b-ca0010TU","29,840",https://www.amazon.in/result.find/HP-Chromebook-12b-ca0010TU-Touchscreen-Integrated/dp/B08C5WSTR6/ref=sr_1_18?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-18,Amazon.in
83,"HP Chromebook x360 Intel Celeron N4020 Processor 12-inch (30.48 cms) Touchscreen Laptop (4GB/64GB eMMC Storage/Chrome OS/Natural Silver), 12b-ca0010TU","29,840",https://www.amazon.in/result.find/HP-Chromebook-12b-ca0010TU-Touchscreen-Integrated/dp/B08C5WSTR6/ref=sr_1_18?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-18,Amazon.in
84,"HP Chromebook 14a-na0003TU 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver","27,731",https://www.amazon.in/result.find/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_34?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-34,Amazon.in
85,"HP Chromebook 14a-na0003TU 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver","27,731",https://www.amazon.in/result.find/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_34?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-34,Amazon.in
86,"RDP ThinBook 1010 - Intel Celeron Quad Core Processor, 4GB RAM, 64GB Storage, Windows 10 Pro, 14.1” HD Screen","19,621",https://www.amazon.in/result.find/RDP-ThinBook-1010-Celeron-Processor/dp/B0924PSV78/ref=sr_1_13?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-13,Amazon.in
87,"RDP ThinBook 1010 - Intel Celeron Quad Core Processor, 4GB RAM, 64GB Storage, Windows 10 Pro, 14.1” HD Screen","19,621",https://www.amazon.in/result.find/RDP-ThinBook-1010-Celeron-Processor/dp/B0924PSV78/ref=sr_1_13?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-13,Amazon.in
88,"Dell Inspiron 5406 11th Gen 14"" (35.56cms) FHD 2in1 Laptop(i5-1135G7 / 8GB / 512 SSD / Iris Xe Graphics /Win 10/ MS Office 19/ Active Pen/Titan Grey),D560367WIN9S",0,https://www.amazon.in/result.find/Dell-Inspiron-i5-1135G7-Graphics-D560367WIN9S/dp/B08M61GDYJ/ref=sr_1_25?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-25,Amazon.in
89,"Dell Inspiron 5406 11th Gen 14"" (35.56cms) FHD 2in1 Laptop(i5-1135G7 / 8GB / 512 SSD / Iris Xe Graphics /Win 10/ MS Office 19/ Active Pen/Titan Grey),D560367WIN9S",0,https://www.amazon.in/result.find/Dell-Inspiron-i5-1135G7-Graphics-D560367WIN9S/dp/B08M61GDYJ/ref=sr_1_25?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-25,Amazon.in
